image_idxs,accuracy,precision,specificity,sensibility,IoU,dice_coeff,f1_score
"[0, 1, 2]",0.919238,0.919170,0.702801,0.980183,0.902480,0.948644,0.794920
"[3, 4, 5]",0.880106,0.870127,0.549327,0.983402,0.857717,0.923161,0.665914
"[6, 7, 8]",0.958229,0.958932,0.366178,0.997110,0.956290,0.977608,0.484766
"[9, 10, 11]",0.917008,0.913916,0.494735,0.995401,0.910052,0.952885,0.639135
"[12, 13, 14]",0.944509,0.945661,0.421313,0.995233,0.941425,0.969734,0.567903
"[15, 16, 17]",0.880958,0.877920,0.617178,0.954530,0.844732,0.914410,0.711863
"[18, 19, 20]",0.952462,0.951943,0.609916,0.996094,0.948419,0.973468,0.740835
"[21, 22, 23]",0.883123,0.878553,0.428735,0.953104,0.845483,0.913152,0.478037
"[24, 25, 26]",0.930773,0.921518,0.145587,0.996479,0.918565,0.953929,0.185312
"[27, 28]",0.917656,0.936738,0.634230,0.963887,0.904863,0.949920,0.744507     